player,team,total_runs,batting_avg,batting_sr,total_wickets,bowling_avg,bowling_economy,catches,stumpings
Abdullah Shafique,Pakistan,39168.0,23.29124999999999,56.53750000000017,0.0,0.0,0.0,640.0,0.0
Kamran Ghulam,Pakistan,12936.0,19.42714285714285,65.9328571428571,49.0,1.0,1.1428571428571428,343.0,0.0
Naseem Shah,Pakistan,44208.0,8.520833333333334,52.345833333333,8928.0,32.88583333333335,5.434166666666663,288.0,0.0
Shaheen Shah Afridi,Pakistan,106134.0,7.653157894736836,87.74315789473637,39349.0,30.634210526316025,5.844736842105275,7220.0,0.0
MJ Santner,New Zealand,182412.0,13.471666666666655,112.18222222222244,25596.0,39.61166666666679,4.697222222222208,10368.0,0.0
NG Smith,New Zealand,936.0,2.1666666666666665,26.110000000000007,468.0,42.291666666666664,7.209999999999998,288.0,0.0
JA Duffy,New Zealand,729.0,0.0,11.666666666666666,1782.0,35.943333333333314,6.66888888888887,324.0,0.0
S Mahmood,England,5566.0,3.727272727272727,32.78909090909101,3388.0,28.550909090909055,5.640909090909098,484.0,0.0
MP Stoinis,Australia,75205.0,18.33230769230768,89.93769230769244,2535.0,19.31384615384616,4.863846153846155,1014.0,0.0
Sediqullah Atal,Afghanistan,9175.0,33.932,68.50599999999997,0.0,0.0,0.0,175.0,0.0
Afif Hossain,Bangladesh,132496.0,33.5821428571431,91.34714285714313,784.0,4.714285714285714,5.706428571428562,2548.0,0.0
Bilal Sami,Afghanistan,0.0,0.0,0.0,0.0,0.0,8.33,1.0,0.0
KT Maphaka,South Africa,1.0,0.5,33.33,5.0,24.4,7.7,1.0,0.0
Tamim Iqbal,Bangladesh,340200.0,43.18933333333361,76.18599999999995,0.0,0.0,0.0,3600.0,0.0
Mohammad Saifuddin,Bangladesh,4608.0,4.0,158.30833333333325,720.0,15.104999999999988,5.2783333333333315,108.0,0.0
Mujeeb Ur Rahman,Afghanistan,20207.0,6.484545454545448,62.867272727272635,4598.0,48.032727272727165,4.803636363636375,605.0,0.0
KH Pandya,India,520.0,65.0,96.58999999999997,8.0,111.5,5.75,4.0,0.0
SN Thakur,India,83810.0,8.823529411764707,75.60352941176554,17629.0,31.438235294117746,6.191764705882366,1734.0,0.0
