Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Team,Start Date,End Date
Iftikhar Ahmed,2,1.0,2.0,0.0,21.0,0.0,,,10.5,,0.0,0.0,Pakistan,2023-05-01,2023-06-01
Mohammad Nawaz (3),1,1.0,5.1,0.0,26.0,0.0,,,5.03,,0.0,0.0,Pakistan,2023-05-01,2023-06-01
Abdullah Shafique,1,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Babar Azam,3,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Fakhar Zaman,3,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Imam-ul-Haq,1,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Mohammad Haris,1,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Mohammad Rizwan,3,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Shan Masood,2,,,,,,,,,,,,Pakistan,2023-05-01,2023-06-01
Hasan Mahmud,3,3.0,23.0,0.0,113.0,5.0,2/44,22.6,4.91,27.6,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Mustafizur Rahman,1,1.0,10.0,1.0,44.0,4.0,4/44,11.0,4.4,15.0,1.0,0.0,Bangladesh,2023-05-01,2023-06-01
Shoriful Islam,2,2.0,14.0,0.0,104.0,3.0,2/83,34.66,7.42,28.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Ebadot Hossain,3,3.0,23.3,2.0,124.0,2.0,1/53,62.0,5.27,70.5,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Taijul Islam,2,2.0,9.0,0.0,64.0,2.0,1/5,32.0,7.11,27.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Mehidy Hasan Miraz,3,2.0,12.0,1.0,51.0,1.0,1/38,51.0,4.25,72.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Najmul Hossain Shanto,3,1.0,3.0,0.0,10.0,1.0,1/10,10.0,3.33,18.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Mrittunjoy Chowdhury,1,1.0,8.0,0.0,64.0,0.0,,,8.0,,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Shakib Al Hasan,2,1.0,9.0,0.0,57.0,0.0,,,6.33,,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Litton Das,3,,,,,,,,,,,,Bangladesh,2023-05-01,2023-06-01
Mushfiqur Rahim,3,,,,,,,,,,,,Bangladesh,2023-05-01,2023-06-01
Rony Talukdar,1,,,,,,,,,,,,Bangladesh,2023-05-01,2023-06-01
Tamim Iqbal,3,,,,,,,,,,,,Bangladesh,2023-05-01,2023-06-01
Towhid Hridoy,3,,,,,,,,,,,,Bangladesh,2023-05-01,2023-06-01
MJ Henry,3,3.0,28.1,4.0,166.0,7.0,3/54,23.71,5.89,24.1,0.0,0.0,New Zealand,2023-05-01,2023-06-01
AF Milne,2,2.0,18.0,1.0,90.0,3.0,2/56,30.0,5.0,36.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
R Ravindra,1,1.0,10.0,0.0,65.0,3.0,3/65,21.66,6.5,20.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
HB Shipley,2,2.0,19.0,1.0,107.0,3.0,3/34,35.66,5.63,38.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
IS Sodhi,3,3.0,30.0,1.0,169.0,2.0,1/53,84.5,5.63,90.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
BG Lister,1,1.0,10.0,0.0,57.0,1.0,1/57,57.0,5.7,60.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
CE McConchie,3,3.0,21.0,0.0,114.0,1.0,1/46,114.0,5.42,126.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
JDS Neesham,1,1.0,2.0,0.0,15.0,0.0,,,7.5,,0.0,0.0,New Zealand,2023-05-01,2023-06-01
BM Tickner,1,1.0,8.0,0.0,74.0,0.0,,,9.25,,0.0,0.0,New Zealand,2023-05-01,2023-06-01
TA Blundell,3,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
MS Chapman,3,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
TWM Latham,3,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
DJ Mitchell,2,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
HM Nicholls,2,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
WA Young,3,,,,,,,,,,,,New Zealand,2023-05-01,2023-06-01
Fareed Ahmad,3,3.0,18.0,0.0,112.0,4.0,2/43,28.0,6.22,27.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Mohammad Nabi,3,3.0,20.0,0.0,103.0,3.0,2/52,34.33,5.15,40.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Fazalhaq Farooqi,3,3.0,20.0,0.0,135.0,2.0,2/58,67.5,6.75,60.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Mujeeb Ur Rahman,3,3.0,22.0,1.0,102.0,2.0,1/39,51.0,4.63,66.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Noor Ahmad,2,2.0,17.0,0.0,124.0,2.0,1/54,62.0,7.29,51.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Azmatullah Omarzai,2,2.0,13.0,1.0,83.0,1.0,1/35,83.0,6.38,78.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Gulbadin Naib,1,1.0,2.0,0.0,19.0,1.0,1/19,19.0,9.5,12.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Rashid Khan,1,1.0,4.0,0.0,21.0,0.0,,,5.25,,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Hashmatullah Shahidi,3,,,,,,,,,,,,Afghanistan,2023-06-01,2023-07-01
Ibrahim Zadran,3,,,,,,,,,,,,Afghanistan,2023-06-01,2023-07-01
Najibullah Zadran,3,,,,,,,,,,,,Afghanistan,2023-06-01,2023-07-01
Rahmanullah Gurbaz,3,,,,,,,,,,,,Afghanistan,2023-06-01,2023-07-01
Rahmat Shah,3,,,,,,,,,,,,Afghanistan,2023-06-01,2023-07-01
SN Thakur,3,3.0,17.3,1.0,93.0,8.0,4/37,11.62,5.31,13.1,1.0,0.0,India,2023-07-01,2023-08-01
Kuldeep Yadav,3,3.0,19.0,5.0,61.0,7.0,4/6,8.71,3.21,16.2,1.0,0.0,India,2023-07-01,2023-08-01
Mukesh Kumar,3,3.0,15.0,2.0,69.0,4.0,3/30,17.25,4.6,22.5,0.0,0.0,India,2023-07-01,2023-08-01
RA Jadeja,3,3.0,17.0,1.0,90.0,3.0,3/37,30.0,5.29,34.0,0.0,0.0,India,2023-07-01,2023-08-01
HH Pandya,3,3.0,13.4,1.0,68.0,1.0,1/17,68.0,4.97,82.0,0.0,0.0,India,2023-07-01,2023-08-01
JD Unadkat,1,1.0,5.0,0.0,16.0,1.0,1/16,16.0,3.2,30.0,0.0,0.0,India,2023-07-01,2023-08-01
AR Patel,1,1.0,2.0,1.0,4.0,0.0,,,2.0,,0.0,0.0,India,2023-07-01,2023-08-01
Umran Malik,2,2.0,6.0,0.0,44.0,0.0,,,7.33,,0.0,0.0,India,2023-07-01,2023-08-01
RD Gaikwad,1,,,,,,,,,,,,India,2023-07-01,2023-08-01
Ishan Kishan,3,,,,,,,,,,,,India,2023-07-01,2023-08-01
V Kohli,1,,,,,,,,,,,,India,2023-07-01,2023-08-01
SV Samson,2,,,,,,,,,,,,India,2023-07-01,2023-08-01
RG Sharma,1,,,,,,,,,,,,India,2023-07-01,2023-08-01
Shubman Gill,3,,,,,,,,,,,,India,2023-07-01,2023-08-01
SA Yadav,3,,,,,,,,,,,,India,2023-07-01,2023-08-01
Shakib Al Hasan,3,3.0,25.0,2.0,72.0,4.0,2/50,18.0,2.88,37.5,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Shoriful Islam,1,1.0,9.0,1.0,21.0,4.0,4/21,5.25,2.33,13.5,1.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mehidy Hasan Miraz,3,2.0,18.0,1.0,95.0,3.0,2/60,31.66,5.27,36.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Taskin Ahmed,2,2.0,14.0,1.0,49.0,3.0,2/23,16.33,3.5,28.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Hasan Mahmud,2,2.0,17.0,0.0,106.0,2.0,2/70,53.0,6.23,51.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mustafizur Rahman,2,2.0,14.0,0.0,70.0,2.0,2/60,35.0,5.0,42.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Taijul Islam,1,1.0,9.0,0.0,33.0,2.0,2/33,16.5,3.66,27.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Ebadot Hossain,1,1.0,9.2,0.0,61.0,1.0,1/61,61.0,6.53,56.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Najmul Hossain Shanto,3,1.0,1.4,0.0,17.0,0.0,,,10.2,,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Afif Hossain,3,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Litton Das,3,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Mohammad Naim,2,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Mushfiqur Rahim,3,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Tamim Iqbal,1,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Towhid Hridoy,3,,,,,,,,,,,,Bangladesh,2023-07-01,2023-08-01
Fazalhaq Farooqi,3,3.0,21.0,3.0,72.0,8.0,3/22,9.0,3.42,15.7,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mujeeb Ur Rahman,3,3.0,26.0,2.0,97.0,5.0,3/40,19.4,3.73,31.2,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Rashid Khan,2,2.0,18.0,0.0,49.0,4.0,2/21,12.25,2.72,27.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mohammad Nabi,3,3.0,14.0,0.0,61.0,3.0,1/7,20.33,4.35,28.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Azmatullah Omarzai,3,3.0,13.0,0.0,80.0,1.0,1/39,80.0,6.15,78.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Abdul Rahman,1,1.0,4.0,0.0,27.0,0.0,,,6.75,,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mohammad Saleem,2,2.0,10.2,0.0,70.0,0.0,,,6.77,,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Zia-ur-Rehman,1,1.0,3.3,0.0,22.0,0.0,,,6.28,,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Hashmatullah Shahidi,3,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
Ibrahim Zadran,3,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
Najibullah Zadran,3,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
Rahmanullah Gurbaz,3,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
Rahmat Shah,3,,,,,,,,,,,,Afghanistan,2023-07-01,2023-08-01
SN Thakur,1,1.0,6.3,0.0,37.0,4.0,4/37,9.25,5.69,9.7,1.0,0.0,India,2023-08-01,2023-09-01
Mukesh Kumar,1,1.0,7.0,1.0,30.0,3.0,3/30,10.0,4.28,14.0,0.0,0.0,India,2023-08-01,2023-09-01
Kuldeep Yadav,1,1.0,8.0,3.0,25.0,2.0,2/25,12.5,3.12,24.0,0.0,0.0,India,2023-08-01,2023-09-01
JD Unadkat,1,1.0,5.0,0.0,16.0,1.0,1/16,16.0,3.2,30.0,0.0,0.0,India,2023-08-01,2023-09-01
RA Jadeja,1,1.0,5.0,1.0,29.0,0.0,,,5.8,,0.0,0.0,India,2023-08-01,2023-09-01
HH Pandya,1,1.0,4.0,1.0,13.0,0.0,,,3.25,,0.0,0.0,India,2023-08-01,2023-09-01
RD Gaikwad,1,,,,,,,,,,,,India,2023-08-01,2023-09-01
Ishan Kishan,1,,,,,,,,,,,,India,2023-08-01,2023-09-01
SV Samson,1,,,,,,,,,,,,India,2023-08-01,2023-09-01
Shubman Gill,1,,,,,,,,,,,,India,2023-08-01,2023-09-01
SA Yadav,1,,,,,,,,,,,,India,2023-08-01,2023-09-01
Shadab Khan,4,4.0,27.4,2.0,122.0,8.0,4/27,15.25,4.4,20.7,1.0,0.0,Pakistan,2023-08-01,2023-09-01
Shaheen Shah Afridi,4,4.0,28.4,2.0,125.0,8.0,2/9,15.62,4.36,21.5,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Haris Rauf,3,3.0,18.2,3.0,82.0,7.0,5/18,11.71,4.47,15.7,0.0,1.0,Pakistan,2023-08-01,2023-09-01
Mohammad Nawaz (3),2,2.0,11.0,0.0,58.0,3.0,2/45,19.33,5.27,22.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Naseem Shah,3,3.0,19.0,0.0,74.0,3.0,1/12,24.66,3.89,38.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Faheem Ashraf,1,1.0,8.0,1.0,43.0,2.0,2/43,21.5,5.37,24.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Agha Salman,4,1.0,2.0,0.0,3.0,1.0,1/3,3.0,1.5,12.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Usama Mir,2,2.0,13.0,0.0,79.0,1.0,1/61,79.0,6.07,78.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Iftikhar Ahmed,3,1.0,4.0,0.0,24.0,0.0,,,6.0,,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Mohammad Wasim (1),1,1.0,10.0,0.0,35.0,0.0,,,3.5,,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Babar Azam,4,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
Fakhar Zaman,4,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
Imam-ul-Haq,4,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
Mohammad Rizwan,4,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
Saud Shakeel,1,,,,,,,,,,,,Pakistan,2023-08-01,2023-09-01
Shakib Al Hasan,1,1.0,10.0,2.0,29.0,2.0,2/29,14.5,2.9,30.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mahedi Hasan,1,1.0,10.0,0.0,35.0,1.0,1/35,35.0,3.5,60.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Shoriful Islam,1,1.0,4.0,0.0,23.0,1.0,1/23,23.0,5.75,24.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Taskin Ahmed,1,1.0,7.0,1.0,34.0,1.0,1/34,34.0,4.85,42.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mehidy Hasan Miraz,1,1.0,5.0,0.0,26.0,0.0,,,5.2,,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mustafizur Rahman,1,1.0,3.0,0.0,12.0,0.0,,,4.0,,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mohammad Naim,1,,,,,,,,,,,,Bangladesh,2023-08-01,2023-09-01
Mushfiqur Rahim,1,,,,,,,,,,,,Bangladesh,2023-08-01,2023-09-01
Najmul Hossain Shanto,1,,,,,,,,,,,,Bangladesh,2023-08-01,2023-09-01
Tanzid Hasan,1,,,,,,,,,,,,Bangladesh,2023-08-01,2023-09-01
Towhid Hridoy,1,,,,,,,,,,,,Bangladesh,2023-08-01,2023-09-01
Fazalhaq Farooqi,3,3.0,24.5,0.0,165.0,5.0,3/69,33.0,6.64,29.8,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Mujeeb Ur Rahman,3,3.0,30.0,3.0,128.0,5.0,3/33,25.6,4.26,36.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Mohammad Nabi,3,3.0,24.0,0.0,98.0,4.0,2/34,24.5,4.08,36.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Rashid Khan,3,3.0,30.0,1.0,137.0,3.0,2/42,45.66,4.56,60.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Fareed Ahmad,1,1.0,10.0,0.0,70.0,2.0,2/70,35.0,7.0,30.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Gulbadin Naib,1,1.0,9.0,1.0,36.0,2.0,2/36,18.0,4.0,27.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Abdul Rahman,2,2.0,13.2,0.0,106.0,1.0,1/83,106.0,7.95,80.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Rahmat Shah,1,1.0,1.1,0.0,6.0,1.0,1/6,6.0,5.14,7.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Azmatullah Omarzai,1,1.0,4.4,0.0,12.0,0.0,,,2.57,,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Hashmatullah Shahidi,3,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Ibrahim Zadran,3,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Ikram Alikhil,2,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Rahmanullah Gurbaz,3,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Riaz Hassan,2,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Shahidullah,2,,,,,,,,,,,,Afghanistan,2023-08-01,2023-09-01
Kuldeep Yadav,6,5.0,34.3,2.0,151.0,11.0,5/25,13.72,4.37,18.8,1.0,1.0,India,2023-09-01,2023-10-01
Mohammed Siraj,6,5.0,35.2,4.0,190.0,11.0,6/21,17.27,5.37,19.2,0.0,1.0,India,2023-09-01,2023-10-01
RA Jadeja,9,7.0,60.2,1.0,306.0,10.0,3/40,30.6,5.07,36.2,0.0,0.0,India,2023-09-01,2023-10-01
Mohammed Shami,4,4.0,31.0,2.0,151.0,9.0,5/51,16.77,4.87,20.6,0.0,1.0,India,2023-09-01,2023-10-01
JJ Bumrah,6,5.0,37.0,5.0,195.0,8.0,3/81,24.37,5.27,27.7,0.0,0.0,India,2023-09-01,2023-10-01
HH Pandya,5,4.0,20.2,3.0,68.0,6.0,3/3,11.33,3.34,20.3,0.0,0.0,India,2023-09-01,2023-10-01
SN Thakur,6,5.0,32.0,0.0,220.0,5.0,3/65,44.0,6.87,38.4,0.0,0.0,India,2023-09-01,2023-10-01
R Ashwin,2,2.0,17.0,0.0,88.0,4.0,3/41,22.0,5.17,25.5,0.0,0.0,India,2023-09-01,2023-10-01
M Prasidh Krishna,3,3.0,20.0,0.0,144.0,4.0,2/56,36.0,7.2,30.0,0.0,0.0,India,2023-09-01,2023-10-01
AR Patel,2,2.0,14.0,0.0,76.0,1.0,1/47,76.0,5.42,84.0,0.0,0.0,India,2023-09-01,2023-10-01
NT Tilak Varma,1,1.0,4.0,0.0,21.0,0.0,,,5.25,,0.0,0.0,India,2023-09-01,2023-10-01
Washington Sundar,2,1.0,10.0,0.0,48.0,0.0,,,4.8,,0.0,0.0,India,2023-09-01,2023-10-01
RD Gaikwad,2,,,,,,,,,,,,India,2023-09-01,2023-10-01
Ishan Kishan,8,,,,,,,,,,,,India,2023-09-01,2023-10-01
SS Iyer,5,,,,,,,,,,,,India,2023-09-01,2023-10-01
V Kohli,6,,,,,,,,,,,,India,2023-09-01,2023-10-01
KL Rahul,7,,,,,,,,,,,,India,2023-09-01,2023-10-01
RG Sharma,7,,,,,,,,,,,,India,2023-09-01,2023-10-01
Shubman Gill,8,,,,,,,,,,,,India,2023-09-01,2023-10-01
SA Yadav,4,,,,,,,,,,,,India,2023-09-01,2023-10-01
Shaheen Shah Afridi,4,4.0,36.0,3.0,208.0,8.0,4/35,26.0,5.77,27.0,1.0,0.0,Pakistan,2023-09-01,2023-10-01
Haris Rauf,3,3.0,20.0,0.0,104.0,7.0,4/19,14.85,5.2,17.1,1.0,0.0,Pakistan,2023-09-01,2023-10-01
Naseem Shah,3,3.0,23.5,1.0,123.0,6.0,3/34,20.5,5.16,23.8,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Iftikhar Ahmed,4,3.0,18.4,0.0,122.0,4.0,3/50,30.5,6.53,28.0,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Shadab Khan,4,4.0,35.0,1.0,218.0,2.0,1/55,109.0,6.22,105.0,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Faheem Ashraf,2,2.0,17.0,0.0,101.0,1.0,1/27,101.0,5.94,102.0,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Agha Salman,3,2.0,5.0,0.0,32.0,0.0,,,6.4,,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Mohammad Nawaz (3),2,2.0,15.0,0.0,81.0,0.0,,,5.4,,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Mohammad Wasim (1),1,1.0,3.0,0.0,25.0,0.0,,,8.33,,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Zaman Khan,1,1.0,6.0,1.0,39.0,0.0,,,6.5,,0.0,0.0,Pakistan,2023-09-01,2023-10-01
Abdullah Shafique,1,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Babar Azam,4,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Fakhar Zaman,4,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Imam-ul-Haq,3,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Mohammad Haris,1,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Mohammad Rizwan,4,,,,,,,,,,,,Pakistan,2023-09-01,2023-10-01
Mustafizur Rahman,3,3.0,25.0,2.0,130.0,8.0,3/27,16.25,5.2,18.7,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Shoriful Islam,4,4.0,31.0,3.0,140.0,8.0,3/36,17.5,4.51,23.2,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Taskin Ahmed,3,3.0,26.3,1.0,138.0,8.0,4/44,17.25,5.2,19.8,1.0,0.0,Bangladesh,2023-09-01,2023-10-01
Hasan Mahmud,5,5.0,41.0,3.0,239.0,5.0,3/57,47.8,5.82,49.2,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Mahedi Hasan,4,4.0,31.0,1.0,147.0,5.0,3/45,29.4,4.74,37.2,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Nasum Ahmed,5,5.0,48.0,4.0,196.0,4.0,2/21,49.0,4.08,72.0,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Mehidy Hasan Miraz,4,4.0,26.0,0.0,135.0,3.0,1/29,45.0,5.19,52.0,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Khaled Ahmed,2,2.0,13.2,1.0,72.0,3.0,3/60,24.0,5.4,26.6,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Tanzim Hasan Sakib,2,2.0,13.3,1.0,57.0,2.0,2/32,28.5,4.22,40.5,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Shakib Al Hasan,4,4.0,33.3,2.0,162.0,1.0,1/43,162.0,4.83,201.0,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Afif Hossain,2,1.0,1.0,0.0,6.0,0.0,,,6.0,,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Mahmudullah,3,2.0,7.5,0.0,46.0,0.0,,,5.87,,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Shamim Hossain,4,2.0,2.0,0.0,18.0,0.0,,,9.0,,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Soumya Sarkar,2,1.0,2.0,0.0,13.0,0.0,,,6.5,,0.0,0.0,Bangladesh,2023-09-01,2023-10-01
Anamul Haque,1,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Litton Das,5,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Mohammad Naim,3,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Mushfiqur Rahim,4,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Najmul Hossain Shanto,2,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Nurul Hasan,1,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Tamim Iqbal,2,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Tanzid Hasan,4,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Towhid Hridoy,7,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
Zakir Hasan,1,,,,,,,,,,,,Bangladesh,2023-09-01,2023-10-01
TA Boult,5,4.0,30.1,1.0,158.0,10.0,5/51,15.8,5.23,18.1,0.0,1.0,New Zealand,2023-09-01,2023-10-01
R Ravindra,7,6.0,39.0,1.0,214.0,8.0,4/60,26.75,5.48,29.2,1.0,0.0,New Zealand,2023-09-01,2023-10-01
IS Sodhi,3,2.0,16.0,1.0,79.0,6.0,6/39,13.16,4.93,16.0,0.0,1.0,New Zealand,2023-09-01,2023-10-01
LH Ferguson,5,4.0,30.1,1.0,184.0,4.0,1/26,46.0,6.09,45.2,0.0,0.0,New Zealand,2023-09-01,2023-10-01
AF Milne,1,1.0,6.3,0.0,34.0,4.0,4/34,8.5,5.23,9.7,1.0,0.0,New Zealand,2023-09-01,2023-10-01
TG Southee,3,3.0,21.0,0.0,165.0,4.0,2/65,41.25,7.85,31.5,0.0,0.0,New Zealand,2023-09-01,2023-10-01
MJ Henry,3,3.0,27.0,0.0,156.0,3.0,2/69,52.0,5.77,54.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
KA Jamieson,5,4.0,32.0,3.0,215.0,3.0,2/32,71.66,6.71,64.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
BG Lister,2,2.0,16.0,0.0,101.0,3.0,3/69,33.66,6.31,32.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
CE McConchie,3,2.0,7.0,1.0,21.0,3.0,2/18,7.0,3.0,14.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
DJ Mitchell,4,2.0,9.0,0.0,50.0,2.0,2/40,25.0,5.55,27.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
GD Phillips,4,4.0,17.0,0.0,107.0,1.0,1/57,107.0,6.29,102.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
MJ Santner,1,1.0,7.0,0.0,38.0,1.0,1/38,38.0,5.42,42.0,0.0,0.0,New Zealand,2023-09-01,2023-10-01
FH Allen,4,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
TA Blundell,3,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
CJ Bowes,2,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
DP Conway,4,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
D Foxcroft,1,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
TWM Latham,4,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
HM Nicholls,6,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
WA Young,7,,,,,,,,,,,,New Zealand,2023-09-01,2023-10-01
MM Ali,3,3.0,21.0,0.0,123.0,7.0,4/50,17.57,5.85,18.0,1.0,0.0,England,2023-09-01,2023-10-01
RJW Topley,4,4.0,27.0,1.0,127.0,5.0,3/27,25.4,4.7,32.4,0.0,0.0,England,2023-09-01,2023-10-01
DJ Willey,3,3.0,17.5,1.0,94.0,5.0,3/34,18.8,5.27,21.4,0.0,0.0,England,2023-09-01,2023-10-01
Rehan Ahmed,2,1.0,10.0,0.0,54.0,4.0,4/54,13.5,5.4,15.0,1.0,0.0,England,2023-09-01,2023-10-01
