player,fantasy_score
Rubel Hossain,-90.35303455669441
DA Payne,-121.1533593575347
LA Dawson,-123.70335935753471
A Ashok,-146.84071876305893
K Gowtham,-147.37826018194963
Usman Qadir,-151.1533593575347
Mashrafe Mortaza,-196.7930345566944
JA Richardson,-201.5530345566944
Sharafuddin Ashraf,-203.02608145559705
Ravi Bishnoi,-214.97826018194962
Shafiul Islam,-223.1991293195868
Al-Amin Hossain,-256.1991293195868
C Overton,-268.8268748602776
JA Turner,-299.62687486027755
Naveed Zadran,-308.9230249126401
Shahbaz Ahmed,-346.1460814555971
MG Neser,-347.0991293195868
LR Morris,-385.5930345566944
JD Unadkat,-486.22608145559707
Muhammad Musa,-546.0268748602775
Shahnawaz Dahani,-570.0268748602775
Mohammad Haris,-681.8149988822203
KW Richardson,-698.3930345566944
CJ Jordan,-733.2268748602776
BG Lister,-770.6457501044713
Imad Wasim,-862.0268748602775
N Burger,-877.55874288043
Yamin Ahmadzai,-937.2130249126401
MJ Swepson,-1173.9930345566945
Abrar Ahmed,-1195.925621227494
Umran Malik,-1198.9286516447764
Abdul Rahman,-1226.226081455597
L Sipamla,-1261.6607572214514
T Natarajan,-1298.226081455597
M Mpongwana,-1714.8699430434403
M Prasidh Krishna,-1922.384199301121
Zahid Mahmood,-2012.8507026534369
LB Williams,-2046.2299430434405
OP Stone,-2121.3007026534365
HB Shipley,-2149.326000835771
Tanzim Hasan Sakib,-2349.1752739787808
BV Sears,-2485.8060008357706
Ebadot Hossain,-2539.6411649483503
R Ashwin,-2663.41302491264
NA Saini,-2699.248651644776
Mukesh Kumar,-3573.76302491264
Usama Mir,-4187.919919691837
S Muthusamy,-4230.06994304344
A Nortje,-5730.955846731548
E Bosch,-5990.06994304344
WD Parnell,-7594.8860577716105
AF Milne,-7655.195252820727
Taijul Islam,-7818.295273978779
Shoriful Islam,-8357.393693027538
C Connolly,-9143.101356618274
CJ Dala,-9215.66994304344
T Sangha,-9701.811933030749
Hasan Ali,-10559.885621227493
AAP Atkinson,-12403.639991057764
Fareed Ahmad,-13018.62921315821
SH Johnson,-13069.611933030748
Nahid Rana,-13179.89116494835
JR Hazlewood,-13850.382347129966
CV Varun,-15022.282522743704
YS Chahal,-17224.06921315821
NG Smith,-20631.395252820726
Faheem Ashraf,-20638.359357534693
SSB Magala,-20665.941100998436
RJW Topley,-23222.359357534693
C Bosch,-23549.35535750672
BM Tickner,-24754.06653572921
NT Ellis,-24994.34527397878
Mohammad Hasnain,-30434.14897164279
S Mahmood,-40615.70130487868
Hasan Mahmud,-42081.43112437003
LH Ferguson,-53893.873978269956
BA Carse,-56598.35935753468
IS Sodhi,-59112.70912244046
Mujeeb Ur Rahman,-59724.49430217496
JA Duffy,-61498.153978269955
MA Wood,-73153.48496981995
KA Jamieson,-74111.47397826996
Noor Ahmad,-116088.74167264128
KA Maharaj,-128134.74288043001
Kuldeep Yadav,-223216.83163378117
Taskin Ahmed,-246032.59643141262
Fazalhaq Farooqi,-413805.8933811303
L Ngidi,-753387.8867738524
T Shamsi,-846257.903078274
Mustafizur Rahman,-1056816.0569210576
